mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 3557493,133.310396,0.393727,0.122917,0
Kepler, 3444588,133.803580,0.928310,0.049579,1
Kepler, 8394721,136.618080,13.484577,0.209154,1
Kepler, 3962243,160.206960,31.884147,0.255083,1
Kepler, 10015516,138.534171,67.692139,2.139542,0
Kepler, 10154388,138.222290,12.062230,0.085767,1
Kepler, 1432789,136.491280,9.931463,0.236583,1
Kepler, 1718189,144.320310,21.853629,0.143292,1
Kepler, 5880320,138.996170,8.193451,0.218083,1
Kepler, 5130369,137.170610,19.978670,0.423667,0
Kepler, 6037187,142.819190,41.805954,0.252375,1
Kepler, 6147122,142.210960,15.451582,0.100250,0
Kepler, 8257407,176.306015,89.698169,0.230908,0
Kepler, 8218274,133.465454,1.187352,0.208292,0
Kepler, 3964562,135.259271,3.012477,0.130933,0
Kepler, 5735762,124.061465,4.778003,0.114004,1
Kepler, 6292162,357.519981,7.814839,0.125508,0
Kepler, 6307521,157.385190,29.745250,0.945625,0
Kepler, 6359320,357.126170,5.326673,0.141854,1
Kepler, 3848972,131.947273,0.741057,0.043875,0
Kepler, 3860441,133.272520,2.988085,0.153333,0
Kepler, 3765771,133.227846,2.783883,0.102275,0
Kepler, 3557341,178.587454,0.393727,0.125833,0
Kepler, 1718189,137.631480,13.060794,0.133958,1
Kepler, 3858949,154.882120,25.951846,0.607542,0
Kepler, 3858824,154.882780,25.951854,0.614792,0
Kepler, 2157247,135.892690,5.686287,0.732208,0
Kepler, 7601633,147.395712,15.663887,0.103229,0
Kepler, 8242681,133.638478,4.020629,0.183688,0
Kepler, 8246781,273.185533,185.022882,0.203052,0
Kepler, 8264070,450.757390,2.897432,0.132471,0
Kepler, 8222813,357.559410,8.704205,0.122437,1
Kepler, 6359320,358.683670,8.128093,0.155292,1
Kepler, 6362874,133.076265,0.974869,0.067462,1
Kepler, 6272413,133.398520,4.897210,0.075500,1
Kepler, 8279765,135.232863,2.757794,0.115183,0
Kepler, 8330548,134.644919,1.914159,0.137154,0
Kepler, 3348082,135.527490,3.982167,0.099833,0
Kepler, 3853673,133.984483,0.643794,0.065258,0
Kepler, 3447722,139.491840,16.088323,0.238792,1
Kepler, 3447722,142.742510,10.300679,0.203542,1
Kepler, 3447722,145.007170,35.675745,0.307542,1
Kepler, 1432214,214.039000,161.788327,0.221250,0
Kepler, 2165002,146.152850,16.568068,0.177696,1
Kepler, 2165002,151.416140,47.332930,0.112833,1
Kepler, 2441728,133.675210,0.856895,0.054492,0
Kepler, 1871056,155.715860,40.806533,0.547292,1
Kepler, 8222813,354.930930,2.466970,0.068104,1
Kepler, 8240904,360.366940,6.618363,0.153387,1
Kepler, 8240904,354.195220,107.721409,0.335083,1
Kepler, 8374494,357.321883,5.251916,0.204563,0
Kepler, 5735762,125.339418,9.673958,0.136004,1
Kepler, 8414907,277.060700,100.303923,0.362583,0
Kepler, 8414907,456.844440,200.611033,0.297083,0
Kepler, 8397446,448.595900,0.986620,0.165508,0
Kepler, 8386035,134.512115,1.634846,0.254583,0
Kepler, 3962243,142.897100,14.128477,0.153542,1
Kepler, 3962243,172.127100,48.647854,0.227667,1
Kepler, 3438507,136.311520,8.398430,0.264333,1
Kepler, 3869014,139.946840,8.638474,0.227358,1
Kepler, 1871056,216.217490,140.107650,0.770958,1
Kepler, 1865042,132.988280,3.481592,0.075287,1
Kepler, 2438502,172.264978,8.360616,0.314104,0
Kepler, 2309585,352.722660,1.838515,0.114129,0
Kepler, 5780460,197.035730,35.617602,0.352329,1
Kepler, 8244190,133.194030,1.092068,0.077483,0
Kepler, 8229696,139.115900,10.128052,0.146542,1
Kepler, 8262210,178.528460,1.613001,0.099750,0
Kepler, 10272640,357.118360,3.770551,0.158654,1
Kepler, 10232123,133.275862,1.343768,0.080854,0
Kepler, 10223616,142.161540,29.124365,0.142538,0
Kepler, 8415745,366.704854,31.828146,0.121542,0
Kepler, 8378634,134.700660,3.629443,0.234583,0
Kepler, 8397675,133.446605,0.553262,0.036979,0
Kepler, 8346392,135.180660,5.728126,0.084562,1
Kepler, 8288947,133.433300,3.755743,0.095463,1
Kepler, 8312852,134.763310,7.440429,0.124625,0
Kepler, 9480189,174.787814,6.581477,0.128733,1
Kepler, 11974540,132.864236,24.669193,0.293131,1
Kepler, 9480189,170.666260,2.382653,0.078700,1
Kepler, 9480189,189.020310,24.664614,0.119079,1
Kepler, 9512687,174.858550,11.515172,0.083583,1
Kepler, 8644288,135.407564,7.641568,0.142091,1
Kepler, 5738346,374.621600,30.611393,0.149000,0
Kepler, 1725016,355.496520,7.407425,0.153125,1
Kepler, 1722276,248.940450,569.934135,0.174600,0
Kepler, 892772,357.535940,5.092465,0.152458,0
Kepler, 1027438,145.835370,110.615766,0.208333,0
Kepler, 10268907,354.582160,1.103971,0.038583,0
Kepler, 5446285,133.009227,10.916108,0.152067,1
Kepler, 10166274,134.869597,3.353732,0.060825,1
Kepler, 10166274,132.084260,6.877446,0.057050,1
Kepler, 10166274,158.039860,28.464648,0.111071,1
Kepler, 10153827,133.584241,0.293630,0.099404,0
Kepler, 5735762,146.061300,42.896450,0.237071,1
Kepler, 8302450,134.570950,2.441998,0.114958,0
Kepler, 8351704,136.345140,7.097121,0.087746,1
Kepler, 8299955,134.255350,2.682768,0.123208,0
Kepler, 9513865,171.991840,3.601465,0.094804,1
Kepler, 9595686,170.244566,3.108251,0.104367,0
Kepler, 9661877,176.717370,20.427207,0.143625,0
Kepler, 5728283,183.373143,6.198274,0.314099,0
Kepler, 8127639,354.818200,1.023472,0.097912,0
Kepler, 6047498,133.676312,0.518727,0.052167,0
Kepler, 8125580,142.360940,17.317117,0.131325,1
Kepler, 8158127,140.104600,9.428899,0.185338,1
Kepler, 10158990,133.614360,1.096583,0.088283,0
Kepler, 10141900,132.533630,1.196548,0.052467,1
Kepler, 8410727,135.396220,11.476090,0.210250,1
Kepler, 8410727,134.183970,25.263047,0.259167,1
Kepler, 8349405,136.238270,7.168827,0.053750,0
Kepler, 8278371,133.945730,0.677375,0.076504,1
Kepler, 8280511,134.824620,10.435470,0.142363,1
Kepler, 8280511,135.754250,7.410843,0.135208,1
Kepler, 9710326,189.926670,28.599140,0.152362,1
Kepler, 9761882,173.705720,24.587164,0.166000,1
Kepler, 5297298,155.296635,34.193600,0.225576,0
Kepler, 9766437,170.765350,12.532482,0.167367,1
Kepler, 9775938,171.545479,13.197207,0.145300,1
Kepler, 8644288,128.154869,14.858909,0.146883,1
Kepler, 8158127,135.764020,4.088973,0.149375,1
Kepler, 8176653,134.066374,2.866680,0.046933,0
Kepler, 8174625,141.680200,17.444860,0.185208,1
Kepler, 8183911,137.082540,8.306974,0.115000,0
Kepler, 8179973,135.307260,2.497052,0.157917,0
Kepler, 10157458,138.582900,7.336851,0.147833,1
